+-----------+-------+
|    CID    | Value |
| 537042172 |  366  |
| 537031767 |  366  |
| 537040044 |  366  |
| 537048272 |  366  |
| 537048496 |  366  |
| 537041408 |  366  |
| 537033270 |  366  |
| 537042337 |  366  |
| 537035205 |  365  |
| 537037200 |  365  |
| 537037375 |  365  |
| 537037599 |  365  |
| 537035591 |  365  |
| 537039736 |  365  |
| 537041195 |  365  |
| 537041597 |  365  |
| 537050083 |  365  |
| 537042426 |  365  |
| 537033506 |  364  |
| 537043697 |  364  |
| 537035547 |  364  |
| 537035621 |  364  |
| 537035766 |  364  |
| 537031061 |  364  |
| 537038432 |  364  |
| 537047674 |  364  |
| 537032253 |  364  |
| 537048739 |  364  |
| 537049222 |  364  |
| 537037929 |  363  |
| 537047215 |  363  |
| 537030971 |  363  |
| 537049761 |  363  |
| 537031891 |  363  |
| 537040534 |  363  |
| 537049310 |  363  |
| 537043010 |  362  |
| 537030335 |  362  |
| 537050035 |  362  |
| 537048778 |  362  |
| 537040942 |  362  |
| 537041652 |  361  |
| 537035667 |  361  |
| 537044619 |  361  |
| 537037784 |  361  |
| 537047858 |  361  |
| 537048365 |  361  |
| 537049681 |  361  |
| 537033311 |  361  |
| 537031847 |  361  |
| 537049510 |  361  |
| 537045655 |  360  |
| 537038561 |  360  |
| 537039076 |  360  |
| 537040486 |  360  |
| 537049573 |  360  |
| 537044220 |  359  |
| 537037374 |  359  |
| 537037821 |  359  |
| 537037917 |  359  |
| 537046218 |  359  |
| 537046480 |  359  |
| 537031338 |  359  |
| 537032379 |  359  |
| 537048793 |  359  |
| 537043246 |  358  |
| 537030989 |  358  |
| 537037971 |  358  |
| 537039003 |  358  |
| 537048824 |  358  |
| 537040762 |  358  |
| 537049615 |  357  |
| 537044735 |  357  |
| 537046222 |  357  |
| 537034171 |  357  |
| 537040307 |  357  |
| 537040821 |  357  |
| 537040826 |  357  |
| 537047049 |  357  |
| 537041172 |  357  |
| 537033231 |  357  |
| 537038632 |  357  |
| 537042102 |  357  |
| 537033988 |  357  |
| 537050492 |  357  |
| 537031312 |  356  |
| 537045314 |  356  |
| 537031002 |  356  |
| 537042668 |  356  |
| 537035579 |  355  |
| 537048225 |  355  |
| 537046153 |  355  |
| 537038849 |  355  |
| 537047340 |  355  |
| 537032960 |  355  |
| 537049560 |  355  |
| 537049610 |  355  |
| 537050485 |  355  |
| 537040381 |  354  |
| 537044600 |  354  |
| 537038175 |  354  |
| 537038760 |  354  |
| 537038942 |  354  |
| 537048857 |  354  |
| 537049794 |  354  |
| 537041607 |  354  |
| 537049929 |  353  |
| 537035774 |  353  |
| 537045344 |  353  |
| 537037556 |  353  |
| 537031268 |  353  |
| 537030830 |  353  |
| 537041392 |  353  |
| 537049954 |  353  |
| 537041720 |  352  |
| 537045608 |  352  |
| 537045940 |  352  |
| 537046155 |  352  |
| 537041558 |  352  |
| 537033191 |  352  |
| 537040588 |  351  |
| 537035190 |  351  |
| 537036730 |  351  |
| 537046081 |  351  |
| 537050391 |  351  |
| 537033501 |  350  |
| 537047777 |  350  |
| 537039654 |  350  |
| 537048205 |  350  |
| 537049945 |  350  |
| 537050532 |  350  |
| 537050699 |  350  |
| 537050796 |  350  |
| 537043855 |  349  |
| 537043929 |  349  |
| 537036182 |  349  |
| 537036303 |  349  |
